threatened_plant_id,conservation_status,provenance,weed_rating,habit,germplasm_source,conservation_benefit,local_benefits_description,horticultural_potential
3011,Endangered,Indigenous to Greater Melbourne,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3012,Vulnerable,Indigenous to Greater Melbourne,Medium Risk,Climber,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3013,Endangered,Indigenous to Greater Melbourne,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3014,Critically Endangered,Indigenous to Greater Melbourne,Medium Risk,Grass or Grasslike,Not held in collection but easily obtained,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3015,Endangered,Indigenous to Greater Melbourne,Medium Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3016,Threatened,Indigenous to Greater Melbourne,Low Risk,Grass or Grasslike,Not held in collection but easily obtained,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3017,Critically Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres to Large Shrub above 3 metres,Currently held in collection,"Bushfire Recovery, Genotyped Collection",,Highly ornamental - feature plants
3018,Endangered,Native to Victoria,Medium Risk,Herbaceous Perennial,Not held in collection but easily obtained,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3019,Vulnerable,Native to Victoria,Low Risk,Small Shrub less than 1 metre to Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3020,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Not held in collection moderately difficult to collect,"Genotyped Collection, Living collection critical as sufficient seed is not or cannot be collected and stored",,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3021,Endangered,Native to Victoria,Low Risk,Herbaceous Perennial,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3022,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3023,Endangered,Native to Victoria,Medium Risk,Herbaceous Perennial,Currently held in collection,,,Highly ornamental - feature plants
3024,Endangered,Native to Victoria,Low Risk,Herbaceous Perennial,Not held in collection with little prospect of collecting,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3025,Vulnerable,Native to Victoria,Low Risk,Herbaceous Perennial,Currently held in collection,,,Highly ornamental - feature plants
3026,Critically Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,"Bushfire Recovery, Living collection critical as sufficient seed is not or cannot be collected and stored",Good Story,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3027,Endangered,Native to Victoria,Low Risk,Grass or Grasslike,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3028,Critically Endangered,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3029,Vulnerable,Native to Victoria,Low Risk,Herbaceous Perennial,Currently held in collection,Bushfire Recovery,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Highly ornamental - feature plants
3030,Vulnerable,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3031,Critically Endangered,Native to Victoria,Low Risk,Large Shrub above 3 metres,Currently held limited propagation material,,,"Plant with limited ornamental attributes, (form/flowers/fruit etc.) - Limited display potential"
3032,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3033,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3034,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3035,Vulnerable,Native to Victoria,Low Risk,Medium Tree 10 to 20 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3036,Critically Endangered,Native to Victoria,Low Risk,Small Tree less than 10 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3037,Threatened,Native to Victoria,Low Risk,Herbaceous Perennial,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Highly ornamental - feature plants
3038,Vulnerable,Native to Victoria,Low Risk,Herbaceous Perennial,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)","Plant with limited ornamental attributes, (form/flowers/fruit etc.) - Limited display potential"
3039,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Bushfire Recovery,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3040,Endangered,Native to Victoria,Medium Risk,Climber,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3041,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3042,Vulnerable,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3043,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3044,Endangered,Native to Victoria,Low Risk,Grass or Grasslike,Currently held limited propagation material,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Highly ornamental - feature plants
3045,Critically Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3046,Vulnerable,Native to Victoria,Low Risk,Large Shrub more than 3 metres to Small Tree less than 10 metres,Currently held in collection,Bushfire Recovery,,Highly ornamental - feature plants
3047,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3048,Critically Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3049,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3050,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3051,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3052,Critically Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Highly ornamental - feature plants
3053,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3054,Endangered,Native to Victoria,Medium Risk,Grass or Grasslike,Currently held limited propagation material,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3055,Endangered,Native to Victoria,*High Risk,Grass or Grasslike,Currently held limited propagation material,,,Highly ornamental - feature plants
3056,Critically Endangered,Native to Victoria,Medium Risk,Large Shrub more than 3 metres to Small Tree less than 10 metres,Currently held limited propagation material,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3057,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3058,Endangered,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3059,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3060,Critically Endangered,Indigenous to City of Melbourne,Medium Risk,Herbaceous Perennial,Not held in collection but easily obtained,,Culturally Important to Traditional owners / and or local community,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3061,Critically Endangered,Indigenous to City of Melbourne,Low Risk,Herbaceous Perennial,Currently held limited propagation material,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3062,Critically Endangered,Indigenous to City of Melbourne,Low Risk,Grass or Grasslike,Not held in collection but easily obtained,,Culturally Important to Traditional owners / and or local community,Highly ornamental - feature plants
3063,Endangered,Indigenous to Greater Melbourne,Medium Risk,Herbaceous Perennial,Not held in collection but easily obtained,,Culturally Important to Traditional owners / and or local community,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3064,Endangered,Indigenous to City of Melbourne,Medium Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,Culturally Important to Traditional owners / and or local community,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3065,Endangered,Indigenous to City of Melbourne,Low Risk,Herbaceous Perennial,Not held in collection moderately difficult to collect,,Culturally Important to Traditional owners / and or local community,"Plant with limited ornamental attributes, (form/flowers/fruit etc.) - Limited display potential"
3066,Critically Endangered,Indigenous to Greater Melbourne,Low Risk,Grass or Grasslike,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3067,Critically Endangered,Indigenous to Greater Melbourne,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,"Culturally Important to Traditional owners / and or local community, Good Story",Highly ornamental - feature plants
3068,Critically Endangered,Indigenous to Greater Melbourne,Medium Risk,Medium Tree 10 to 20 metres,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3069,Endangered,Indigenous to Greater Melbourne,Medium Risk,Annual,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3070,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3071,Endangered,Native to Victoria,Medium Risk,Large Shrub above 3 metres,Currently held in collection,Bushfire Recovery,Good Story,Highly ornamental - feature plants
3072,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Not held in collection but easily obtained,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3073,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3074,Critically Endangered,Native to Victoria,Medium Risk,Small Tree less than 10 metres,Currently held in collection,,,Highly ornamental - feature plants
3075,Critically Endangered,Native to Victoria,Medium Risk,Medium Tree 10 to 20 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3076,Critically Endangered,Native to Victoria,Low Risk,Prostrate,Not held in collection with little prospect of collecting,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3077,Threatened,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3078,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Genotyped Collection,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3079,Endangered,Native to Victoria,Low Risk,Herbaceous Perennial,Not held in collection moderately difficult to collect,Bushfire Recovery,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3080,Vulnerable,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3081,Endangered,Native to Victoria,*High Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3082,Critically Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,"Bushfire Recovery, Living collection critical as sufficient seed is not or cannot be collected and stored",,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3083,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3084,Critically Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Not held in collection moderately difficult to collect,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3085,Vulnerable,Native to Victoria,Low Risk,Herbaceous Perennial,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3086,Critically Endangered,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3087,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3088,Critically Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,,,Highly ornamental - feature plants
3089,Endangered,Native to Victoria,Medium Risk,Medium Tree 10 to 20 metres,Currently held in collection,,,Highly ornamental - feature plants
3090,Vulnerable,Native to Victoria,Medium Risk,Medium Tree 10 to 20 metres,Currently held in collection,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3091,Critically Endangered,Native to Victoria,Low Risk,Small Tree less than 10 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3092,Endangered,Native to Victoria,Medium Risk,Prostrate,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3093,Critically Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held in collection,"Bushfire Recovery, Genotyped Collection",,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3094,Endangered,Native to Victoria,Medium Risk,Prostrate,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3095,Endangered,Native to Victoria,Medium Risk,Climber,Currently held in collection,,,Highly ornamental - feature plants
3096,Critically Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3097,Critically Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3098,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3099,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3100,Vulnerable,Native to Victoria,Low Risk,Grass or Grasslike,Currently held in collection,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3101,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3102,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3103,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Not held in collection but easily obtained,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3104,Critically Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3105,Critically Endangered,Native to Victoria,Low Risk,Large Shrub above 3 metres,Currently held in collection,Bushfire Recovery,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3106,Critically Endangered,Native to Victoria,Medium Risk,Large Shrub above 3 metres,Currently held limited propagation material,Bushfire Recovery,Good Story,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3107,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3108,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Bushfire Recovery,,Highly ornamental - feature plants
3109,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,Bushfire Recovery,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3110,Endangered,Native to Victoria,Low Risk,Herbaceous Perennial,Not held in collection but easily obtained,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3111,Critically Endangered,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Currently held in collection,Living collection critical as sufficient seed is not or cannot be collected and stored,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3112,Critically Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Not held in collection but easily obtained,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3113,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Highly ornamental - feature plants
3114,Critically Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,Living collection critical as sufficient seed is not or cannot be collected and stored,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3115,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3116,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3117,Endangered,Native to Victoria,Low Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3118,Threatened,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,"Bushfire Recovery, Genotyped Collection",,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3119,Critically Endangered,Native to Victoria,Low Risk,Herbaceous Perennial,Currently held limited propagation material,,"Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3120,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3121,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,Bushfire Recovery,,Highly ornamental - feature plants
3122,Threatened,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Not held in collection but easily obtained,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3123,Endangered,Native to Victoria,Medium Risk,Medium Shrub 1 to 3 metres,Currently held in collection,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3124,Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,"Bushfire Recovery, Living collection critical as sufficient seed is not or cannot be collected and stored",Good Story,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3125,Endangered,Native to Victoria,Medium Risk,Small Shrub less than 1 metre,Currently held in collection,"Bushfire Recovery, Living collection critical as sufficient seed is not or cannot be collected and stored",,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3126,Critically Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3127,Critically Endangered,Native to Victoria,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3128,Endangered,Indigenous to City of Melbourne,*High Risk,Grass or Grasslike,Not held in collection but easily obtained,,"Culturally Important to Traditional owners / and or local community, Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)","Plant with limited ornamental attributes, (form/flowers/fruit etc.) - Limited display potential"
3129,Critically Endangered,Indigenous to City of Melbourne,Low Risk,Grass or Grasslike,Currently held in collection,Genotyped Collection,Culturally Important to Traditional owners / and or local community,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3130,Endangered,Indigenous to City of Melbourne,Low Risk,Medium Tree 10 to 20 metres,Currently held in collection,,Culturally Important to Traditional owners / and or local community,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3131,Endangered,Indigenous to City of Melbourne,Medium Risk,Small Shrub less than 1 metre,Not held in collection moderately difficult to collect,Bushfire Recovery,Culturally Important to Traditional owners / and or local community,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3132,Critically Endangered,Indigenous to City of Melbourne,Low Risk,Small Shrub less than 1 metre,Currently held limited propagation material,,"Culturally Important to Traditional owners / and or local community, Good Story",Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3133,Endangered,Indigenous to City of Melbourne,Medium Risk,Grass or Grasslike,Not held in collection but easily obtained,,Culturally Important to Traditional owners / and or local community,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3134,Endangered,Indigenous to City of Melbourne,Low Risk,Herbaceous Perennial,Currently held in collection,,Culturally Important to Traditional owners / and or local community,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3135,Endangered,Indigenous to City of Melbourne,Low Risk,Herbaceous Perennial,Currently held in collection,,"Culturally Important to Traditional owners / and or local community, Good Story",Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3136,Critically Endangered,Indigenous to City of Melbourne,Medium Risk,Herbaceous Perennial,Currently held limited propagation material,,Culturally Important to Traditional owners / and or local community,Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings
3137,Endangered,Indigenous to Greater Melbourne,Medium Risk,Large Shrub above 3 metres,Currently held limited propagation material,,,Highly ornamental - feature plants
3138,Endangered,Indigenous to Greater Melbourne,Medium Risk,Large Shrub above 3 metres,Currently held in collection,Bushfire Recovery,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
3139,Critically Endangered,Indigenous to Greater Melbourne,Low Risk,Herbaceous Perennial,Currently held in collection,,,Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year
